ID,NOMBRE,DIA,HORARIO,SALA,CANTIDAD ENTRADAS,MONTO FACTURADO
142,TPB AFK: The Pirate Bay Away From Keyboard,4,8:36,3,20,6300.00
143,Sí¼den,5,14:21,5,3,1050.00
144,Chicama,3,6:35,4,39,8424.00
145,Tan de repente,6,2:48,5,10,3150.00
146,Chiri/Trace,4,23:18,5,8,2520.00
147,Habi,1,13:9,1,19,4104.00
148,Jimmy's End,5,5:11,3,28,8820.00
149,Avanti popolo,5,15:17,5,20,6300.00
150,Trapero x 3,2,23:20,4,11,2376.00
151,Ouvir o rio: Uma escultura sonora de Cildo Meireles,1,5:1,2,7,1512.00
152,Zona mutante,3,0:49,1,13,2808.00
153,Eu receberia as piores notí­cias dos seus lindos lábios,6,14:30,2,21,6615.00
154,El árbol,1,15:1,5,37,7992.00
155,Oki's Movie,2,18:42,4,34,7344.00
156,Le Monde est comme í§a,6,5:5,2,26,8190.00
157,Las calles de mi ciudad,5,1:37,3,7,2205.00
158,A última vez que vi Macau,5,23:10,4,27,8505.00
159,Brás Cubas,5,15:30,1,30,9450.00
160,Sinais de serenidade por coisas sem sentido,3,13:3,5,7,1512.00
161,La mamá de mi abuela le contó a mi abuela,6,23:10,3,5,1575.00
162,Viola,4,19:18,1,39,12285.00
163,La banda que buscó el sonido debajo,2,18:52,2,17,3672.00
164,Lugares comunes,1,18:0,3,38,8208.00
165,Tanta agua,6,20:0,5,17,5355.00
166,Hijas del rí­o,6,11:3,3,36,11340.00
167,Sleepless Nights Stories,2,7:46,3,37,7992.00
168,Enjoy Yourself,1,14:52,1,13,2808.00
169,El club de los cinco,4,9:11,1,28,8820.00
170,Ekpyrosis,6,21:6,1,11,3465.00
171,Ears Shut Tight,3,3:21,4,11,2376.00
172,La república perdida,2,19:56,3,34,7344.00
173,El Olimpo vací­o,2,6:36,4,2,480.00
174,Here's looking at you,6,7:14,4,21,6615.00
175,The Scorsese Machine,1,18:43,5,36,7776.00
176,I Catch a Terrible Cat,1,20:1,3,38,8208.00
177,Langsam Reiten Cowboy,1,16:25,1,10,2160.00
178,Reconversí£o,2,14:49,2,27,5832.00
179,Oh Yeah,3,5:10,1,30,6480.00
180,La mamá de mi abuela le contó a mi abuela,5,13:57,1,2,700.00
181,Concrete forms,1,15:50,1,20,4320.00
182,La libertad,6,20:35,4,34,10710.00
183,Doméstica,5,1:27,2,8,2520.00
184,El rey de EspaÃ±a,4,18:23,3,16,5040.00
185,Katzenhimmel,4,7:40,5,39,12285.00
186,El universo de Escher,1,8:4,2,22,4752.00
187,De occulta philosophia,3,21:29,2,16,3456.00
188,La banda que buscó el sonido debajo,6,2:47,5,7,2205.00
189,Tan de repente,4,11:34,2,29,9135.00
190,La toma,1,12:33,1,17,3672.00
191,Kiltro,6,7:40,5,11,3465.00
192,La guerra dei vulcani,3,14:28,3,5,1080.00
193,Revolución tóxica,1,5:46,1,15,3240.00
194,El estudiante,6,23:20,4,20,6300.00
195,Anina,1,14:26,1,13,2808.00
196,Roma,2,4:37,1,4,864.00
197,Velleza,2,11:59,3,23,4968.00
198,Rodencia y el diente  de la princesa,3,9:35,5,17,3672.00
199,El corazón del roble,2,20:44,1,33,7128.00
200,Dias de Nietzsche em Turim,4,18:29,4,6,1890.00
201,Nyosha,5,14:55,2,9,2835.00
202,Una familia gay,2,11:42,5,7,1512.00
203,Fogo,3,18:18,5,2,480.00
204,Make It New John,2,14:11,1,24,5184.00
205,Charlas de Taj Mahal,2,16:45,2,11,2376.00
206,Vamps,2,2:19,1,12,2592.00
207,Sinais de serenidade por coisas sem sentido,2,20:18,1,33,7128.00
208,Tráiganme la cabeza de la mujer metralleta,2,15:16,3,34,7344.00
209,The Shine of Day,3,16:29,1,23,4968.00
210,Mandrill,4,0:28,5,3,1050.00
211,Na vibración,1,16:12,2,25,5400.00
212,Neón,1,15:3,2,17,3672.00
213,Here's looking at you,2,10:59,3,31,6696.00
214,Tango de una noche  de verano,6,10:27,2,9,2835.00
215,Museum Hours,3,13:27,5,7,1512.00
216,Revolución tóxica,1,17:17,1,23,4968.00
217,La playa de México,1,2:54,5,16,3456.00
218,Taller de flamenco,2,2:8,5,24,5184.00
219,Romance Joe,2,15:46,5,5,1080.00
220,La mosca,5,7:16,5,8,2520.00
221,Barroco,6,2:6,1,20,6300.00
222,Call Girl,1,9:27,1,9,1944.00
223,Alunizar,3,23:28,1,36,7776.00
224,No olvidar,5,16:20,5,9,2835.00
225,A Story for the Modlins,2,7:15,3,33,7128.00
226,More Than Honey,2,4:27,4,34,7344.00
227,Butoh,6,20:37,2,9,2835.00
228,The Punk Syndrome,6,19:8,3,10,3150.00
229,Dreileben -  Don't Follow Me Around,6,1:4,2,10,3150.00
230,War Matador,6,22:33,2,15,4725.00
231,Mapa,6,1:27,5,4,1260.00
232,Al final: La última carta,6,23:46,1,15,4725.00
233,Joven y alocada,3,16:32,3,26,5616.00
234,Nobody's Daughter Haewon,3,13:13,2,19,4104.00
235,Tráiganme la cabeza de la mujer metralleta,2,14:34,4,35,7560.00
236,Martí­n (Hache),3,7:53,5,2,480.00
237,My Afghanistan - Life in the Forbidden Zone,6,7:20,1,1,350.00
238,Langsam Reiten Cowboy,3,21:33,3,35,7560.00
239,Tale of Cinema,1,2:23,3,2,480.00
240,Silvia Prieto,2,11:29,2,17,3672.00
241,Hawaii,5,1:48,4,21,6615.00
242,Conversation avec George Cukor,2,6:31,1,2,480.00
243,Lugares comunes,1,19:34,1,29,6264.00
244,Antonio Gil,5,20:18,4,26,8190.00
245,A Little Suicide,1,11:18,1,23,4968.00
246,Manhí£ de Santo António,5,6:40,5,19,5985.00
247,Su re,6,12:58,4,18,5670.00
248,In the Dust of the Stars,1,22:21,1,25,5400.00
249,Roma,6,13:20,1,32,10080.00
250,Miramar,4,4:41,3,21,6615.00
251,Woolworths Choir,6,15:37,3,4,1260.00
252,Alpine Saga,2,21:13,1,33,7128.00
253,la extranjera,1,18:47,5,7,1512.00
254,Bloody Daughter,4,18:46,3,14,4410.00
255,Jack and Diane,1,20:41,5,38,8208.00
256,Death Metal Angola,1,13:46,3,21,4536.00
257,Paradise:Love,2,20:35,3,31,6696.00
258,Harbour of Hope,5,21:39,1,18,5670.00
259,la extranjera,1,0:58,3,5,1080.00
260,Mandrill,6,21:22,1,13,4095.00
261,Zona mutante,5,4:8,2,8,2520.00
262,Falls Burns Malone Fiddles,1,14:50,4,19,4104.00
263,Estación Zombi,2,2:18,4,16,3456.00
264,A Little Suicide,1,16:30,5,40,8640.00
265,Aprí¨s mai,1,14:45,1,36,7776.00
266,My Afghanistan - Life in the Forbidden Zone,6,8:36,1,7,2205.00
267,Men in the Ring,6,13:14,4,25,7875.00
268,The Day He Arrives,4,9:16,5,32,10080.00
269,David Lynch: Don't Look at Me,5,15:6,2,31,9765.00
270,Qué historia es ésta y cuál es su final,4,22:38,1,40,12600.00
271,Lazos perversos,5,20:4,3,8,2520.00
272,In Another Country,3,22:7,5,15,3240.00
273,Three Sisters,5,21:3,5,38,11970.00
274,Jerry Lewis (partie 1),2,20:25,3,3,720.00
275,Paul Williams Still Alive,3,17:45,3,39,8424.00
276,El otro dí­a,1,7:4,5,31,6696.00
277,Ingrid Caven: Musique et voix,5,7:46,1,27,8505.00
278,Sobreviven,2,18:4,1,19,4104.00
279,Zona mutante,2,21:25,3,3,720.00
280,Harbour of Hope,2,3:7,1,22,4752.00
281,Un sueÃ±o  recurrente,4,23:6,2,2,700.00
282,Something from Nothing: The Art of Rap,4,17:15,1,11,3465.00
283,MontaÃ±a en sombra,2,8:12,2,11,2376.00
284,Les Coquillettes,6,10:3,3,18,5670.00
285,Arbeit,6,13:56,1,31,9765.00
286,The Shine of Day,5,8:51,3,19,5985.00
287,Conversation avec George Cukor,5,17:25,1,4,1260.00
288,As ondas,2,10:21,1,8,1728.00
289,Langsam Reiten Cowboy,6,7:37,4,5,1575.00
290,Historias extraordinarias,1,1:4,1,8,1728.00
291,In awe,5,17:36,1,20,6300.00
292,Tchoupitoulas,3,20:30,4,16,3456.00
293,De occulta philosophia,1,21:43,1,16,3456.00
294,The End,3,1:45,1,36,7776.00
295,El último asado,3,6:52,3,19,4104.00
296,Go Away!,1,20:51,5,5,1080.00
297,Marco Macaco,2,17:47,2,15,3240.00
298,Marina Abramovic: The Artist Is Present,4,16:1,4,15,4725.00
299,Habi,5,21:8,5,13,4095.00
300,Tráiganme la cabeza de la mujer metralleta,2,23:58,1,1,240.00
301,Mundo Grúa,6,6:26,5,30,9450.00
302,Anina,4,8:20,5,14,4410.00
303,Déjeuner chez Gertrude Stein,5,21:28,2,31,9765.00
304,El dí­a trajo la oscuridad,4,23:56,4,5,1575.00
305,Here's looking at you,2,7:48,2,23,4968.00
306,A Hijacking,6,22:19,2,19,5985.00
307,Jerry Lewis (partie 1),4,19:29,2,31,9765.00
308,Paisaje-Duración  (Carretera / Rocas),4,0:47,2,2,700.00
309,Romance Joe,1,0:11,5,38,8208.00
310,Far from Afghanistan,3,11:30,2,40,8640.00
311,El rey de EspaÃ±a,6,19:38,5,39,12285.00
312,La república perdida,1,15:41,5,13,2808.00
313,London Suite,3,6:14,3,17,3672.00
314,A Study of Relationships Between Inner and Outer Space,3,13:10,3,9,1944.00
315,the Luddite Cropper and  the Deluded Followers of  Joanna Southcott,1,10:4,4,24,5184.00
316,El amor (primera parte),3,19:35,2,19,4104.00
317,El universo de Escher,5,3:54,5,40,12600.00
318,Metamorphosen,5,0:29,5,9,2835.00
319,Jean Renoir le patron:  La rí¨gle et l'exception,4,0:37,5,17,5355.00
320,La Paz,1,1:13,2,1,240.00
321,Dear Nonna: A Film Letter,5,7:25,5,37,11655.00
322,The Act of Killing,2,10:11,5,12,2592.00
323,Como me da la gana,3,7:36,5,6,1296.00
324,Como me da la gana,3,6:57,5,31,6696.00
325,Elena,2,0:59,3,37,7992.00
326,Like Someone in Love,5,1:19,2,13,4095.00
327,Algo más,4,18:20,1,7,2205.00
328,Bob Wilson's Life & Death of Marina Abramovic,3,20:26,5,13,2808.00
329,Un dí­a,6,19:2,5,10,3150.00
330,Nyosha,5,19:32,4,17,5355.00
331,Materia oscura,6,22:39,4,25,7875.00
332,Mapa,2,2:27,3,22,4752.00
333,salvata dai filibustieri,3,7:25,3,16,3456.00
334,Turning Gate,5,16:52,2,8,2520.00
335,Misterio,4,0:30,1,32,10080.00
336,Una familia gay,4,6:41,2,18,5670.00
337,Summer Holiday (Vaginale VII),1,13:44,2,10,2160.00
338,Avanti popolo,6,11:3,4,3,1050.00
339,The Scorsese Machine,2,6:17,5,27,5832.00
340,Vers Madrid - The Burning Bright! (Scenes from the Class Struggle and the Revolution),3,8:19,2,37,7992.00
341,Yo y Maru 2012,5,8:20,1,28,8820.00
342,Sinais de serenidade por coisas sem sentido,1,22:42,5,35,7560.00
343,Habi,3,7:0,5,10,2160.00
344,Citadel,5,22:4,1,30,9450.00
345,Un lugar en el mundo,5,15:14,3,29,9135.00
346,Zona mutante,2,18:22,2,10,2160.00
347,Los tentados,2,7:45,1,30,6480.00
348,I Catch a Terrible Cat,2,8:40,2,14,3024.00
349,Paradise:Love,3,1:39,5,36,7776.00
350,Imaginario,2,10:30,5,35,7560.00
351,Paradise:Love,4,19:11,5,9,2835.00
352,La playa del amor,6,2:30,2,34,10710.00
353,Remitente:  Una carta visual,4,22:12,5,13,4095.00
354,El diario de Agustí­n,1,1:1,5,38,8208.00
355,Ayer Buenos Aires hoy,6,23:51,5,35,11025.00
356,Los últimos dí­as de la ví­ctima,1,2:8,2,12,2592.00
357,Il Gemello,3,21:28,2,28,6048.00
358,Summer Holiday (Vaginale VII),3,5:47,5,7,1512.00
359,Mouth Wide Open,4,4:58,1,30,9450.00
360,Plaga zombie,5,11:40,2,29,9135.00
361,Concrete forms,1,21:44,5,12,2592.00
362,Bonanza,6,3:40,3,4,1260.00
363,A Hijacking,4,16:53,4,20,6300.00
364,David Lynch: Don't Look at Me,4,8:52,5,1,350.00
365,Mandrill,3,1:24,4,1,240.00
366,Mundo Grúa,3,22:8,2,38,8208.00
367,Outrage Beyond,3,11:42,3,20,4320.00
368,Shut Up and Play the Hits,3,6:37,2,31,6696.00
369,Twenty Little Films,3,6:30,5,34,7344.00
370,The Capsule,1,2:12,3,17,3672.00
371,Corea,6,22:4,5,32,10080.00
372,Neón,1,15:36,3,6,1296.00
373,Go Away!,6,16:6,3,7,2205.00
374,Corea,1,13:7,2,9,1944.00
375,Starlet,4,23:3,4,5,1575.00
376,Doméstica,2,15:54,2,9,1944.00
377,Rodencia y el diente  de la princesa,2,0:57,2,23,4968.00
378,Inori,5,13:55,1,30,9450.00
379,Estación Zombi,6,23:55,5,17,5355.00
380,Corea,6,10:32,5,21,6615.00
381,More Than Honey,1,21:36,4,9,1944.00
382,Parapalos,6,6:56,1,39,12285.00
383,The Beautiful + The Sublime,5,3:12,1,21,6615.00
384,Hábitat,4,8:40,2,18,5670.00
385,Jean Renoir le patron:  La rí¨gle et l'exception,6,14:15,5,22,6930.00
386,Il Gemello,4,22:37,1,8,2520.00
387,Aprí¨s mai,4,22:31,2,21,6615.00
388,De occulta philosophia,1,2:54,5,34,7344.00
389,Jean Renoir le patron:  La rí¨gle et l'exception,2,12:31,4,40,8640.00
390,Concrete forms,1,2:37,5,18,3888.00
391,Imágenes paganas,1,17:1,1,38,8208.00
392,Kidd Life,2,10:16,3,30,6480.00
393,Jean Renoir le patron:  La rí¨gle et l'exception,4,1:24,5,40,12600.00
394,Disparos,6,21:17,4,29,9135.00
395,Vamps,3,4:48,4,23,4968.00
396,Domingos,5,4:46,3,23,7245.00
397,Manhí£ de Santo António,3,1:26,4,19,4104.00
398,Soy mucho mejor que vos,1,23:11,5,11,2376.00
399,Brás Cubas,6,19:42,3,40,12600.00
400,A World Not Ours,2,15:21,2,17,3672.00
401,Katzenjammer,3,13:10,2,25,5400.00
402,Modelo 73,4,6:34,1,22,6930.00
403,Yo y Maru 2012,3,15:41,2,38,8208.00
404,Sofia's Last Ambulance,3,5:35,3,31,6696.00
405,Tango de una noche  de verano,5,22:6,2,35,11025.00
406,Cuéntame de Bí­a,3,1:34,2,26,5616.00
407,El universo de Escher,1,1:28,5,17,3672.00
408,VidaExtra,1,2:20,3,26,5616.00
409,Remitente:  Una carta visual,6,9:6,1,20,6300.00
410,Manhí£ de Santo António,6,10:22,2,12,3780.00
411,Fall and Rebirth of the Independent Record Shop,1,20:55,4,13,2808.00
412,Hannah Arendt,5,5:45,1,15,4725.00
413,Filme de amor,2,16:17,4,14,3024.00
414,El corazón del roble,5,2:0,3,25,7875.00
415,La mujer perseguida,5,22:17,5,5,1575.00
