ID,NOMBRE,DIA,HORARIO,SALA,CANTIDAD ENTRADAS,MONTO FACTURADO
109,Al fin llegó el amor,20:7,4,3,40,0.000000
110,The Day a Pig Fell into a Well,15:15,6,4,12,0.000000
111,Ovos de dinossauro  na sala de estar,15:28,6,2,1,350.000000
112,Death Metal Angola,10:58,4,4,7,0.000000
113,Woman Is the Future of Man,12:28,4,2,37,0.000000
114,Nyosha,13:56,2,4,29,0.000000
115,Museum Hours,1:13,5,1,20,0.000000
116,Deshora,22:47,1,1,10,0.000000
117,Rodencia y el diente  de la princesa,11:36,5,3,14,0.000000
118,Much Ado About Nothing,1:28,4,1,35,0.000000
119,Mekong Hotel,1:6,1,3,27,0.000000
120,Las calles de mi ciudad,21:12,5,1,19,0.000000
121,Marina Abramovic: The Artist Is Present,23:7,3,5,8,0.000000
122,Mekong Hotel,0:50,5,1,24,0.000000
123,Antonio Gil,0:13,2,5,16,0.000000
124,Neón,11:59,3,1,23,0.000000
125,Family Holiday,15:9,6,5,18,0.000000
126,Peaches Does Herself,15:17,1,5,20,0.000000
127,Falls Burns Malone Fiddles,1:45,2,3,20,0.000000
128,Imágenes Paganas,0:35,5,5,12,0.000000
129,Lazos perversos,14:49,5,1,40,0.000000
130,Joyful Girl,2:33,4,3,5,0.000000
131,The Town of Whales,10:54,2,3,10,0.000000
132,VidaExtra,7:22,6,5,40,0.000000
133,La casa del sol naciente,0:55,3,2,20,0.000000
134,Nyosha,0:22,1,1,23,0.000000
135,Disparos,1:49,5,3,13,0.000000
136,La mosca,9:18,5,2,6,0.000000
137,El aÃ±o pasado en Mardelplá,23:52,6,1,31,0.000000
138,Paisaje-Duración  (Carretera / Rocas),16:40,1,2,17,0.000000
139,Paisaje-Duración  (Carretera / Rocas),14:36,6,4,7,0.000000
140,Mujer lobo,21:56,6,1,39,0.000000
141,Mapa,1:13,2,2,26,0.000000
142,TPB AFK: The Pirate Bay Away From Keyboard,8:36,4,3,20,0.000000
143,Sí¼den,14:21,5,5,3,1050.000000
144,Chicama,6:35,3,4,39,0.000000
145,Tan de repente,2:48,6,5,10,0.000000
146,Chiri/Trace,23:18,4,5,8,0.000000
147,Habi,13:9,1,1,19,0.000000
148,Jimmy's End,5:11,5,3,28,0.000000
149,Avanti popolo,15:17,5,5,20,0.000000
150,Trapero x 3,23:20,2,4,11,0.000000
151,Ouvir o rio: Uma escultura sonora de Cildo Meireles,5:1,1,2,7,0.000000
152,Zona mutante,0:49,3,1,13,0.000000
153,Eu receberia as piores notí­cias dos seus lindos lábios,14:30,6,2,21,0.000000
154,El árbol,15:1,1,5,37,0.000000
155,Oki's Movie,18:42,2,4,34,0.000000
156,Le Monde est comme í§a,5:5,6,2,26,0.000000
157,Las calles de mi ciudad,1:37,5,3,7,0.000000
158,A última vez que vi Macau,23:10,5,4,27,0.000000
159,Brás Cubas,15:30,5,1,30,0.000000
160,Sinais de serenidade por coisas sem sentido,13:3,3,5,7,0.000000
161,La mamá de mi abuela le contó a mi abuela,23:10,6,3,5,0.000000
162,Viola,19:18,4,1,39,0.000000
163,La banda que buscó el sonido debajo,18:52,2,2,17,0.000000
164,Lugares comunes,18:0,1,3,38,0.000000
165,Tanta agua,20:0,6,5,17,0.000000
166,Hijas del rí­o,11:3,6,3,36,0.000000
167,Sleepless Nights Stories,7:46,2,3,37,0.000000
168,Enjoy Yourself,14:52,1,1,13,0.000000
169,El club de los cinco,9:11,4,1,28,0.000000
170,Ekpyrosis,21:6,6,1,11,0.000000
171,Ears Shut Tight,3:21,3,4,11,0.000000
172,La república perdida,19:56,2,3,34,0.000000
173,El Olimpo vací­o,6:36,2,4,2,480.000000
174,Here's looking at you,7:14,6,4,21,0.000000
175,The Scorsese Machine,18:43,1,5,36,0.000000
176,I Catch a Terrible Cat,20:1,1,3,38,0.000000
177,Langsam Reiten Cowboy,16:25,1,1,10,0.000000
178,Reconversí£o,14:49,2,2,27,0.000000
179,Oh Yeah,5:10,3,1,30,0.000000
180,La mamá de mi abuela le contó a mi abuela,13:57,5,1,2,700.000000
181,Concrete forms,15:50,1,1,20,0.000000
182,La libertad,20:35,6,4,34,0.000000
183,Doméstica,1:27,5,2,8,0.000000
184,El rey de EspaÃ±a,18:23,4,3,16,0.000000
185,Katzenhimmel,7:40,4,5,39,0.000000
186,El universo de Escher,8:4,1,2,22,0.000000
187,De occulta philosophia,21:29,3,2,16,0.000000
188,La banda que buscó el sonido debajo,2:47,6,5,7,0.000000
189,Tan de repente,11:34,4,2,29,0.000000
190,La toma,12:33,1,1,17,0.000000
191,Kiltro,7:40,6,5,11,0.000000
192,La guerra dei vulcani,14:28,3,3,5,0.000000
193,Revolución tóxica,5:46,1,1,15,0.000000
194,El estudiante,23:20,6,4,20,0.000000
195,Anina,14:26,1,1,13,0.000000
196,Roma,4:37,2,1,4,0.000000
197,Velleza,11:59,2,3,23,0.000000
198,Rodencia y el diente  de la princesa,9:35,3,5,17,0.000000
199,El corazón del roble,20:44,2,1,33,0.000000
200,Dias de Nietzsche em Turim,18:29,4,4,6,0.000000
201,Nyosha,14:55,5,2,9,0.000000
202,Una familia gay,11:42,2,5,7,0.000000
203,Fogo,18:18,3,5,2,480.000000
204,Make It New John,14:11,2,1,24,0.000000
205,Charlas de Taj Mahal,16:45,2,2,11,0.000000
206,Vamps,2:19,2,1,12,0.000000
207,Sinais de serenidade por coisas sem sentido,20:18,2,1,33,0.000000
208,Tráiganme la cabeza de la mujer metralleta,15:16,2,3,34,0.000000
209,The Shine of Day,16:29,3,1,23,0.000000
210,Mandrill,0:28,4,5,3,1050.000000
211,Na vibración,16:12,1,2,25,0.000000
212,Neón,15:3,1,2,17,0.000000
213,Here's looking at you,10:59,2,3,31,0.000000
214,Tango de una noche  de verano,10:27,6,2,9,0.000000
215,Museum Hours,13:27,3,5,7,0.000000
216,Revolución tóxica,17:17,1,1,23,0.000000
217,La playa de México,2:54,1,5,16,0.000000
218,Taller de flamenco,2:8,2,5,24,0.000000
219,Romance Joe,15:46,2,5,5,0.000000
220,La mosca,7:16,5,5,8,0.000000
221,Barroco,2:6,6,1,20,0.000000
222,Call Girl,9:27,1,1,9,0.000000
223,Alunizar,23:28,3,1,36,0.000000
224,No olvidar,16:20,5,5,9,0.000000
225,A Story for the Modlins,7:15,2,3,33,0.000000
226,More Than Honey,4:27,2,4,34,0.000000
227,Butoh,20:37,6,2,9,0.000000
228,The Punk Syndrome,19:8,6,3,10,0.000000
229,Dreileben -  Don't Follow Me Around,1:4,6,2,10,0.000000
230,War Matador,22:33,6,2,15,0.000000
231,Mapa,1:27,6,5,4,0.000000
232,Al final: La última carta,23:46,6,1,15,0.000000
233,Joven y alocada,16:32,3,3,26,0.000000
234,Nobody's Daughter Haewon,13:13,3,2,19,0.000000
235,Tráiganme la cabeza de la mujer metralleta,14:34,2,4,35,0.000000
236,Martí­n (Hache),7:53,3,5,2,480.000000
237,My Afghanistan - Life in the Forbidden Zone,7:20,6,1,1,350.000000
238,Langsam Reiten Cowboy,21:33,3,3,35,0.000000
239,Tale of Cinema,2:23,1,3,2,480.000000
240,Silvia Prieto,11:29,2,2,17,0.000000
241,Hawaii,1:48,5,4,21,0.000000
242,Conversation avec George Cukor,6:31,2,1,2,480.000000
243,Lugares comunes,19:34,1,1,29,0.000000
244,Antonio Gil,20:18,5,4,26,0.000000
245,A Little Suicide,11:18,1,1,23,0.000000
246,Manhí£ de Santo António,6:40,5,5,19,0.000000
247,Su re,12:58,6,4,18,0.000000
248,In the Dust of the Stars,22:21,1,1,25,0.000000
249,Roma,13:20,6,1,32,0.000000
250,Miramar,4:41,4,3,21,0.000000
251,Woolworths Choir,15:37,6,3,4,0.000000
252,Alpine Saga,21:13,2,1,33,0.000000
253,la extranjera,18:47,1,5,7,0.000000
254,Bloody Daughter,18:46,4,3,14,0.000000
255,Jack and Diane,20:41,1,5,38,0.000000
256,Death Metal Angola,13:46,1,3,21,0.000000
257,Paradise:Love,20:35,2,3,31,0.000000
258,Harbour of Hope,21:39,5,1,18,0.000000
259,la extranjera,0:58,1,3,5,0.000000
260,Mandrill,21:22,6,1,13,0.000000
261,Zona mutante,4:8,5,2,8,0.000000
262,Falls Burns Malone Fiddles,14:50,1,4,19,0.000000
263,Estación Zombi,2:18,2,4,16,0.000000
264,A Little Suicide,16:30,1,5,40,0.000000
265,Aprí¨s mai,14:45,1,1,36,0.000000
266,My Afghanistan - Life in the Forbidden Zone,8:36,6,1,7,0.000000
267,Men in the Ring,13:14,6,4,25,0.000000
268,The Day He Arrives,9:16,4,5,32,0.000000
269,David Lynch: Don't Look at Me,15:6,5,2,31,0.000000
270,Qué historia es ésta y cuál es su final,22:38,4,1,40,0.000000
271,Lazos perversos,20:4,5,3,8,0.000000
272,In Another Country,22:7,3,5,15,0.000000
273,Three Sisters,21:3,5,5,38,0.000000
274,Jerry Lewis (partie 1),20:25,2,3,3,720.000000
275,Paul Williams Still Alive,17:45,3,3,39,0.000000
276,El otro dí­a,7:4,1,5,31,0.000000
277,Ingrid Caven: Musique et voix,7:46,5,1,27,0.000000
278,Sobreviven,18:4,2,1,19,0.000000
279,Zona mutante,21:25,2,3,3,720.000000
280,Harbour of Hope,3:7,2,1,22,0.000000
281,Un sueÃ±o  recurrente,23:6,4,2,2,700.000000
282,Something from Nothing: The Art of Rap,17:15,4,1,11,0.000000
283,MontaÃ±a en sombra,8:12,2,2,11,0.000000
284,Les Coquillettes,10:3,6,3,18,0.000000
285,Arbeit,13:56,6,1,31,0.000000
286,The Shine of Day,8:51,5,3,19,0.000000
287,Conversation avec George Cukor,17:25,5,1,4,0.000000
288,As ondas,10:21,2,1,8,0.000000
289,Langsam Reiten Cowboy,7:37,6,4,5,0.000000
290,Historias extraordinarias,1:4,1,1,8,0.000000
291,In awe,17:36,5,1,20,0.000000
292,Tchoupitoulas,20:30,3,4,16,0.000000
293,De occulta philosophia,21:43,1,1,16,0.000000
294,The End,1:45,3,1,36,0.000000
295,El último asado,6:52,3,3,19,0.000000
296,Go Away!,20:51,1,5,5,0.000000
297,Marco Macaco,17:47,2,2,15,0.000000
298,Marina Abramovic: The Artist Is Present,16:1,4,4,15,0.000000
299,Habi,21:8,5,5,13,0.000000
300,Tráiganme la cabeza de la mujer metralleta,23:58,2,1,1,240.000000
301,Mundo Grúa,6:26,6,5,30,0.000000
302,Anina,8:20,4,5,14,0.000000
303,Déjeuner chez Gertrude Stein,21:28,5,2,31,0.000000
304,El dí­a trajo la oscuridad,23:56,4,4,5,0.000000
305,Here's looking at you,7:48,2,2,23,0.000000
306,A Hijacking,22:19,6,2,19,0.000000
307,Jerry Lewis (partie 1),19:29,4,2,31,0.000000
308,Paisaje-Duración  (Carretera / Rocas),0:47,4,2,2,700.000000
309,Romance Joe,0:11,1,5,38,0.000000
310,Far from Afghanistan,11:30,3,2,40,0.000000
311,El rey de EspaÃ±a,19:38,6,5,39,0.000000
312,La república perdida,15:41,1,5,13,0.000000
313,London Suite,6:14,3,3,17,0.000000
314,A Study of Relationships Between Inner and Outer Space,13:10,3,3,9,0.000000
315,the Luddite Cropper and  the Deluded Followers of  Joanna Southcott,10:4,1,4,24,0.000000
316,El amor (primera parte),19:35,3,2,19,0.000000
317,El universo de Escher,3:54,5,5,40,0.000000
318,Metamorphosen,0:29,5,5,9,0.000000
319,Jean Renoir le patron:  La rí¨gle et l'exception,0:37,4,5,17,0.000000
320,La Paz,1:13,1,2,1,240.000000
321,Dear Nonna: A Film Letter,7:25,5,5,37,0.000000
322,The Act of Killing,10:11,2,5,12,0.000000
323,Como me da la gana,7:36,3,5,6,0.000000
324,Como me da la gana,6:57,3,5,31,0.000000
325,Elena,0:59,2,3,37,0.000000
326,Like Someone in Love,1:19,5,2,13,0.000000
327,Algo más,18:20,4,1,7,0.000000
328,Bob Wilson's Life & Death of Marina Abramovic,20:26,3,5,13,0.000000
329,Un dí­a,19:2,6,5,10,0.000000
330,Nyosha,19:32,5,4,17,0.000000
331,Materia oscura,22:39,6,4,25,0.000000
332,Mapa,2:27,2,3,22,0.000000
333,salvata dai filibustieri,7:25,3,3,16,0.000000
334,Turning Gate,16:52,5,2,8,0.000000
335,Misterio,0:30,4,1,32,0.000000
336,Una familia gay,6:41,4,2,18,0.000000
337,Summer Holiday (Vaginale VII),13:44,1,2,10,0.000000
338,Avanti popolo,11:3,6,4,3,1050.000000
339,The Scorsese Machine,6:17,2,5,27,0.000000
340,Vers Madrid - The Burning Bright! (Scenes from the Class Struggle and the Revolution),8:19,3,2,37,0.000000
341,Yo y Maru 2012,8:20,5,1,28,0.000000
342,Sinais de serenidade por coisas sem sentido,22:42,1,5,35,0.000000
343,Habi,7:0,3,5,10,0.000000
344,Citadel,22:4,5,1,30,0.000000
345,Un lugar en el mundo,15:14,5,3,29,0.000000
346,Zona mutante,18:22,2,2,10,0.000000
347,Los tentados,7:45,2,1,30,0.000000
348,I Catch a Terrible Cat,8:40,2,2,14,0.000000
349,Paradise:Love,1:39,3,5,36,0.000000
350,Imaginario,10:30,2,5,35,0.000000
351,Paradise:Love,19:11,4,5,9,0.000000
352,La playa del amor,2:30,6,2,34,0.000000
353,Remitente:  Una carta visual,22:12,4,5,13,0.000000
354,El diario de Agustí­n,1:1,1,5,38,0.000000
355,Ayer Buenos Aires hoy,23:51,6,5,35,0.000000
356,Los últimos dí­as de la ví­ctima,2:8,1,2,12,0.000000
357,Il Gemello,21:28,3,2,28,0.000000
358,Summer Holiday (Vaginale VII),5:47,3,5,7,0.000000
359,Mouth Wide Open,4:58,4,1,30,0.000000
360,Plaga zombie,11:40,5,2,29,0.000000
361,Concrete forms,21:44,1,5,12,0.000000
362,Bonanza,3:40,6,3,4,0.000000
363,A Hijacking,16:53,4,4,20,0.000000
364,David Lynch: Don't Look at Me,8:52,4,5,1,350.000000
365,Mandrill,1:24,3,4,1,240.000000
366,Mundo Grúa,22:8,3,2,38,0.000000
367,Outrage Beyond,11:42,3,3,20,0.000000
368,Shut Up and Play the Hits,6:37,3,2,31,0.000000
369,Twenty Little Films,6:30,3,5,34,0.000000
370,The Capsule,2:12,1,3,17,0.000000
371,Corea,22:4,6,5,32,0.000000
372,Neón,15:36,1,3,6,0.000000
373,Go Away!,16:6,6,3,7,0.000000
374,Corea,13:7,1,2,9,0.000000
375,Starlet,23:3,4,4,5,0.000000
376,Doméstica,15:54,2,2,9,0.000000
377,Rodencia y el diente  de la princesa,0:57,2,2,23,0.000000
378,Inori,13:55,5,1,30,0.000000
379,Estación Zombi,23:55,6,5,17,0.000000
380,Corea,10:32,6,5,21,0.000000
381,More Than Honey,21:36,1,4,9,0.000000
382,Parapalos,6:56,6,1,39,0.000000
383,The Beautiful + The Sublime,3:12,5,1,21,0.000000
384,Hábitat,8:40,4,2,18,0.000000
385,Jean Renoir le patron:  La rí¨gle et l'exception,14:15,6,5,22,0.000000
386,Il Gemello,22:37,4,1,8,0.000000
387,Aprí¨s mai,22:31,4,2,21,0.000000
388,De occulta philosophia,2:54,1,5,34,0.000000
389,Jean Renoir le patron:  La rí¨gle et l'exception,12:31,2,4,40,0.000000
390,Concrete forms,2:37,1,5,18,0.000000
391,Imágenes paganas,17:1,1,1,38,0.000000
392,Kidd Life,10:16,2,3,30,0.000000
393,Jean Renoir le patron:  La rí¨gle et l'exception,1:24,4,5,40,0.000000
394,Disparos,21:17,6,4,29,0.000000
395,Vamps,4:48,3,4,23,0.000000
396,Domingos,4:46,5,3,23,0.000000
397,Manhí£ de Santo António,1:26,3,4,19,0.000000
398,Soy mucho mejor que vos,23:11,1,5,11,0.000000
399,Brás Cubas,19:42,6,3,40,0.000000
400,A World Not Ours,15:21,2,2,17,0.000000
401,Katzenjammer,13:10,3,2,25,0.000000
402,Modelo 73,6:34,4,1,22,0.000000
403,Yo y Maru 2012,15:41,3,2,38,0.000000
404,Sofia's Last Ambulance,5:35,3,3,31,0.000000
405,Tango de una noche  de verano,22:6,5,2,35,0.000000
406,Cuéntame de Bí­a,1:34,3,2,26,0.000000
407,El universo de Escher,1:28,1,5,17,0.000000
408,VidaExtra,2:20,1,3,26,0.000000
409,Remitente:  Una carta visual,9:6,6,1,20,0.000000
410,Manhí£ de Santo António,10:22,6,2,12,0.000000
411,Fall and Rebirth of the Independent Record Shop,20:55,1,4,13,0.000000
412,Hannah Arendt,5:45,5,1,15,0.000000
413,Filme de amor,16:17,2,4,14,0.000000
414,El corazón del roble,2:0,5,3,25,0.000000
415,La mujer perseguida,22:17,5,5,5,0.000000
